task_id,n_scenarios,n_inputs,n_outputs,overlap_rate,overlap_density_tier,guard_complexity,has_external_vars,prompt_spec_len,multi_output,n_guard_atoms,n_and_ops,n_rel_ops,n_others,max_atoms_per_guard,mean_atoms_per_guard,conf_test_only,attempts_test_only,conf_test_expected,attempts_test_expected,conf_semantic_ir,attempts_semantic_ir,ir_n_attempts,ir_conf_attempt_1,ir_conf_attempt_last,ir_n_conf_regressions,ir_mean_feedback_json_len,delta_ir_minus_test_only,e6_winner,delta_ir_minus_test_expected,conf_equal_k_b2,conf_equal_k_m,delta_equal_k_m_minus_b2,equal_k_winner
HardSynthetic.HardCase109,7,5,3,1.292,medium,Nested,False,671,1,17,10,17,1,3,2.4286,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1204.7,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase110,7,5,3,1.208,medium,Nested,False,671,1,17,10,17,1,3,2.4286,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1206.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase111,7,5,3,0.958,low,Nested,False,691,1,19,12,19,1,3,2.7143,0.9583333333333334,3,0.9583333333333334,3,0.9583333333333334,3,3,0.9583333333333334,0.9583333333333334,1,266.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase112,7,5,3,1.417,high,Nested,False,674,1,17,10,17,1,3,2.4286,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1205.3,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase113,7,5,3,1.333,high,Nested,False,683,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1204.7,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase115,7,5,3,1.167,low,Nested,False,681,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1206.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase116,7,5,3,1.458,high,Nested,False,673,1,17,10,17,1,3,2.4286,0.0,3,0.875,3,0.875,3,3,0.875,0.875,1,804.7,0.875,semantic_ir,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase117,7,5,3,1.458,high,Nested,False,671,1,17,10,17,1,3,2.4286,0.875,3,0.0,3,0.875,3,3,0.875,0.875,1,803.3,0.0,tie,0.875,1.0,1.0,0.0,tie
HardSynthetic.HardCase118,7,5,3,1.042,low,Nested,False,684,1,18,11,18,1,3,2.5714,0.0,3,0.9583333333333334,3,0.9583333333333334,3,3,0.9583333333333334,0.9583333333333334,0,398.0,0.958333,semantic_ir,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase120,7,5,3,1.167,low,Nested,False,686,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1205.3,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase121,7,5,3,1.375,high,Nested,False,673,1,17,10,17,1,3,2.4286,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1206.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase122,7,5,3,1.083,low,Nested,False,681,1,18,11,18,1,3,2.5714,0.0,3,0.9583333333333334,3,0.9583333333333334,3,3,0.9583333333333334,0.9583333333333334,0,398.0,0.958333,semantic_ir,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase123,7,5,3,1.208,medium,Nested,False,684,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1206.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase124,7,5,3,1.083,low,Nested,False,681,1,18,11,18,1,3,2.5714,0.0,3,0.875,3,0.875,3,3,0.875,0.875,0,1205.3,0.875,semantic_ir,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase125,7,5,3,1.095,low,Nested,False,672,1,17,10,17,1,3,2.4286,0.8571428571428571,3,0.8571428571428571,3,0.8571428571428571,3,3,0.8571428571428571,0.8571428571428571,0,1206.0,0.0,tie,0.0,1.0,1.0,0.0,tie
